project_id,agency_name,continent_name,country_code,country_name,date_usg_signature,emergency_type_name,project_code,project_title,region_name,total_amount_approved,window_full_name,year,project_sectors,project_clusters,project_groupings,project_cap_codes,signature_year,signature_month,signature_month_name,year_mismatch_flag,funding_category
1770,World Health Organization,Africa,NGA,Nigeria,2009-05-01,Unspecified Health Emergency,09-WHO-028,Project for emergency health intervention to control the meningitis outbreak in Nigeria,Western Africa,1279887.0,Rapid Response,2009,Health,Health,Not Specified,Not Specified,2009,5,May,False,Large ($1M to $3M)
2408,United Nations Children’s Fund,Africa,NGA,Nigeria,2010-08-27,Multiple Emergencies,10-CEF-044,Response to an Outbreak of lead Poisoning in Zamfara State of Nigeria focusing on addressing the gaps/unmet emergency and life saving needs,Western Africa,1181590.0,Rapid Response,2010,Health,Health,Not Specified,Not Specified,2010,8,August,False,Large ($1M to $3M)
2409,World Health Organization,Africa,NGA,Nigeria,2010-09-02,Multiple Emergencies,10-WHO-052,Response to an Outbreak of lead Poisoning in Zamfara State of Nigeria focusing on addressing the gaps/unmet emergency and life saving needs,Western Africa,817612.0,Rapid Response,2010,Health,Health,Not Specified,Not Specified,2010,9,September,False,Medium ($500K to $1M)
3738,United Nations Children’s Fund,Africa,NGA,Nigeria,2013-01-17,Flood,13-CEF-001,Life-saving WASH Interventions for Flood Affected communities in Nigeria,Western Africa,1867213.0,Rapid Response,2013,"Water, Sanitation and Hygiene","Water, Sanitation and Hygiene",Not Specified,Not Specified,2013,1,January,False,Large ($1M to $3M)
3739,United Nations Children’s Fund,Africa,NGA,Nigeria,2013-01-21,Flood,13-CEF-002,"Emergency health care, prevention and response to flood affected population in Nigeria",Western Africa,1099462.0,Rapid Response,2013,Health,Health,Not Specified,Not Specified,2013,1,January,False,Large ($1M to $3M)
3740,Food and Agriculture Organization,Africa,NGA,Nigeria,2013-01-15,Flood,13-FAO-001,Life Saving support for fisheries producers in states most affected by the 2012 flood in Nigeria,Western Africa,995380.0,Rapid Response,2013,Agriculture,Agriculture,Not Specified,Not Specified,2013,1,January,False,Medium ($500K to $1M)
3741,United Nations Population Fund,Africa,NGA,Nigeria,2013-01-21,Flood,13-FPA-001,"Emergency health care, prevention and response to flood affected population in Nigeria",Western Africa,331136.0,Rapid Response,2013,Health,Health,Not Specified,Not Specified,2013,1,January,False,Small (up to $500K)
3742,United Nations High Commissioner for Refugees,Africa,NGA,Nigeria,2013-01-15,Flood,13-HCR-001,Provision of Basic NFIs to most vulnerable Displaced families,Western Africa,1418753.0,Rapid Response,2013,Shelter and Non-Food Items,Shelter and Non-Food Items,Not Specified,Not Specified,2013,1,January,False,Large ($1M to $3M)
3743,World Health Organization,Africa,NGA,Nigeria,2013-01-21,Flood,13-WHO-001,"Emergency health care, prevention and response to flood affected population in Nigeria",Western Africa,719489.0,Rapid Response,2013,Health,Health,Not Specified,Not Specified,2013,1,January,False,Medium ($500K to $1M)
660,United Nations Children’s Fund,Africa,NGA,Nigeria,2014-09-05,Ebola,14-RR-CEF-108,Social Mobilization for Containment of the Ebola Virus Disease in Lagos,Western Africa,394866.0,Rapid Response,2014,Health,Health,Ebola in western Africa 2014-2015,Not Specified,2014,9,September,False,Small (up to $500K)
661,World Health Organization,Africa,NGA,Nigeria,2014-09-08,Ebola,14-RR-WHO-055,Life-saving response to contain the Ebola virus Disease outbreak in Lagos Nigeria,Western Africa,1063443.0,Rapid Response,2014,Health,Health,Ebola in western Africa 2014-2015,Not Specified,2014,9,September,False,Large ($1M to $3M)
746,International Organization for Migration,Africa,NGA,Nigeria,2014-10-17,Displacement,14-UFE-IOM-038,Expanding emergency psychosocial support for conflict-induced displaced population in Maiduguri camps,Western Africa,250000.0,Underfunded Emergencies,2014,Protection,Protection,Boko Haram crisis 2014-,NGA-14/H/70427/R/298,2014,10,October,False,Small (up to $500K)
747,United Nations Population Fund,Africa,NGA,Nigeria,2014-10-16,Displacement,14-UFE-FPA-038,Addressing access to emergency reproductive health services in insecure affected states of Borno and Yobe,Western Africa,223457.0,Underfunded Emergencies,2014,Health,Health,Boko Haram crisis 2014-,NGA-14/H/65992/R1171,2014,10,October,False,Small (up to $500K)
748,United Nations Population Fund,Africa,NGA,Nigeria,2014-10-16,Displacement,14-UFE-FPA-039,Strengthening national capacity for prevention and response to SGBV,Western Africa,285378.0,Underfunded Emergencies,2014,Protection,Protection,Boko Haram crisis 2014-,NGA-14/P-HR-RL/70410/R1171,2014,10,October,False,Small (up to $500K)
749,United Nations High Commissioner for Refugees,Africa,NGA,Nigeria,2014-10-20,Displacement,14-UFE-HCR-037,Improved access to protection and assistance to displaced people and host communities,Western Africa,550063.0,Underfunded Emergencies,2014,Protection,Protection,Boko Haram crisis 2014-,nga-14p/p-hr-rl/70050/r/120,2014,10,October,False,Medium ($500K to $1M)
