projectID,agencyName,continentName,countryCode,countryName,dateUSGSignature,emergencyTypeName,projectCode,projectTitle,regionName,totalAmountApproved,windowFullName,year,projectsectors,projectclusters,projectgroupings,projectcapcodes
1770,World Health Organization,Africa,NGA,Nigeria,5/1/2009,Unspecified Health Emergency,09-WHO-028,Project for emergency health intervention to control the meningitis outbreak in Nigeria,Western Africa,1279887,Rapid Response,2009,Health,Health,,
2408,United Nations Children’s Fund,Africa,NGA,Nigeria,8/27/2010,Multiple Emergencies,10-CEF-044,"Response to an Outbreak of lead Poisoning in Zamfara State of Nigeria  focusing on addressing the gaps/unmet emergency and life saving needs	",Western Africa,1181590,Rapid Response,2010,Health,Health,,
2409,World Health Organization,Africa,NGA,Nigeria,9/2/2010,Multiple Emergencies,10-WHO-052,Response to an Outbreak of lead Poisoning in Zamfara State of Nigeria  focusing on addressing the gaps/unmet emergency and life saving needs,Western Africa,817612,Rapid Response,2010,Health,Health,,
3738,United Nations Children’s Fund,Africa,NGA,Nigeria,1/17/2013,Flood,13-CEF-001,Life-saving WASH Interventions for Flood Affected communities in Nigeria,Western Africa,1867213,Rapid Response,2013,"Water, Sanitation and Hygiene","Water, Sanitation and Hygiene",,
3739,United Nations Children’s Fund,Africa,NGA,Nigeria,1/21/2013,Flood,13-CEF-002,"Emergency health care, prevention and response to flood affected population in Nigeria",Western Africa,1099462,Rapid Response,2013,Health,Health,,
3740,Food and Agriculture Organization,Africa,NGA,Nigeria,1/15/2013,Flood,13-FAO-001,Life Saving support for fisheries producers in states most affected by the 2012 flood in Nigeria,Western Africa,995380,Rapid Response,2013,Agriculture,Agriculture,,
3741,United Nations Population Fund,Africa,NGA,Nigeria,1/21/2013,Flood,13-FPA-001,"Emergency health care, prevention and response to flood affected population in Nigeria",Western Africa,331136,Rapid Response,2013,Health,Health,,
3742,United Nations High Commissioner for Refugees,Africa,NGA,Nigeria,1/15/2013,Flood,13-HCR-001,Provision of Basic NFIs to most vulnerable Displaced families,Western Africa,1418753,Rapid Response,2013,Shelter and Non-Food Items,Shelter and Non-Food Items,,
3743,World Health Organization,Africa,NGA,Nigeria,1/21/2013,Flood,13-WHO-001,"Emergency health care, prevention and response to flood affected population in Nigeria",Western Africa,719489,Rapid Response,2013,Health,Health,,
660,United Nations Children’s Fund,Africa,NGA,Nigeria,9/5/2014,Ebola,14-RR-CEF-108,Social Mobilization for Containment of the Ebola Virus Disease in Lagos,Western Africa,394866,Rapid Response,2014,Health,Health,Ebola in western Africa 2014-2015,
