year,window_full_name,total_funding,project_count
2009,Rapid Response,1279887.0,1
2010,Rapid Response,1999202.0,2
2013,Rapid Response,6431433.0,6
2014,Rapid Response,1458309.0,2
2014,Underfunded Emergencies,3546645.0,8
2015,Rapid Response,9889075.0,8
2016,Rapid Response,23483769.0,21
2017,Rapid Response,9889471.0,9
2017,Underfunded Emergencies,21997157.0,13
2018,Rapid Response,6866877.0,8
2020,Underfunded Emergencies,13001946.0,4
2021,Rapid Response,21004808.0,3
2021,Underfunded Emergencies,12495302.0,9
2022,Rapid Response,20493668.0,5
2022,Underfunded Emergencies,10000000.0,3
2023,Rapid Response,9000000.0,3
2024,Rapid Response,16001256.059999999,8
2025,Rapid Response,11000138.05,9
2026,Rapid Response,8000000.71,3
