year,total_funding,project_count,average_funding
2009,1279887.0,1,1279887.0
2010,1999202.0,2,999601.0
2013,6431433.0,6,1071905.5
2014,5004954.0,10,500495.4
2015,9889075.0,8,1236134.375
2016,23483769.0,21,1118274.7142857143
2017,31886628.0,22,1449392.1818181819
2018,6866877.0,8,858359.625
2020,13001946.0,4,3250486.5
2021,33500110.0,12,2791675.8333333335
2022,30493668.0,8,3811708.5
2023,9000000.0,3,3000000.0
2024,16001256.059999999,8,2000157.0074999998
2025,11000138.05,9,1222237.5611111112
2026,8000000.71,3,2666666.9033333333
