project_sectors,total_funding,project_count,average_funding,years_with_funding,funding_share_percent
Food Assistance,46820063.35,6,7803343.891666667,6,22.527088758952107
Health,22923953.16,30,764131.772,10,11.029671696105908
"Health, Nutrition, Water, Sanitation and Hygiene",19900007.11,4,4975001.7775,3,9.574724902006096
Nutrition,18098688.95,9,2010965.4388888888,6,8.708035470808813
"Water, Sanitation and Hygiene",14231381.75,8,1778922.71875,6,6.847312389311005
Common Services,12956704.7,11,1177882.2454545454,6,6.234012000764025
Shelter and Non-Food Items,12878151.95,9,1430905.772222222,7,6.196216990571887
Protection,12343400.46,21,587780.9742857143,7,5.938925705227827
Agriculture,11572294.31,8,1446536.78875,8,5.567914317358275
"Health, Water, Sanitation and Hygiene",6100000.01,2,3050000.005,2,2.9349648809238253
"Education, Protection",4399657.0,1,4399657.0,1,2.116858813433129
"Camp Coordination and Camp Management, Protection, Shelter and Non-Food Items",3800000.0,1,3800000.0,1,1.8283387752831393
"Camp Coordination and Camp Management, Shelter and Non-Food Items",3000362.0,2,1500181.0,2,1.4435995222331763
"Health, Protection",2585402.89,2,1292701.445,2,1.2439453561884446
"Health, Multi-Purpose Cash, Protection, Water, Sanitation and Hygiene",2500000.0,1,2500000.0,1,1.2028544574231181
"Camp Coordination and Camp Management, Early Recovery, Health, Shelter and Non-Food Items, Water, Sanitation and Hygiene",2492510.0,1,2492510.0,1,1.1992507054686785
"Common Services, Food Assistance, Multi-Purpose Cash",2265652.38,1,2265652.38,1,1.0901000257017184
"Protection, Shelter and Non-Food Items",1750063.0,1,1750063.0,1,0.8420284321285098
Multi-Purpose Cash,1750000.49,1,1750000.49,1,0.8419983559556563
Education,1525595.0,1,1525595.0,1,0.7340274983889686
"Agriculture, Nutrition",1390625.97,2,695312.985,2,0.6690882586491389
"Camp Coordination and Camp Management, Multi-Purpose Cash, Protection, Shelter and Non-Food Items, Water, Sanitation and Hygiene",1173179.54,1,1173179.54,1,0.5644656956186412
"Health, Protection, Water, Sanitation and Hygiene",781249.8,1,781249.8,1,0.3758919217163678
Camp Coordination and Camp Management,600000.0,1,600000.0,1,0.28868506978154834
